epoch:1 avarge_loss:1.135174765586853 avarge_dice:0.1518361597508192
epoch:2 avarge_loss:1.0673206853866577 avarge_dice:0.18007306478917598
epoch:3 avarge_loss:0.9756198763847351 avarge_dice:0.18236232224851848
epoch:4 avarge_loss:0.9360744190216065 avarge_dice:0.27223098423331976
epoch:5 avarge_loss:0.9064188838005066 avarge_dice:0.25496732676401734
epoch:6 avarge_loss:0.8617547035217286 avarge_dice:0.28165123201906683
epoch:7 avarge_loss:0.8233660864830017 avarge_dice:0.300701200813055
epoch:8 avarge_loss:0.7595828795433044 avarge_dice:0.464052804633975
epoch:9 avarge_loss:0.6910642623901367 avarge_dice:0.5809667748212815
epoch:10 avarge_loss:0.6245964074134827 avarge_dice:0.6235094976425171
